observed_mass,true_mass
1.769211616876323205e+02,1.723539464507057062e+02
1.576286634472696733e+02,1.726075048463550274e+02
1.724180490471056544e+02,1.730780033074793209e+02
1.725182053840418632e+02,1.723539464507057062e+02
1.282081173329211765e+02,1.723892873165660831e+02
1.771388555697269851e+02,1.723539464507057062e+02
1.282641853152630915e+02,1.719857353846940100e+02
1.675808351834976690e+02,1.723588752035612401e+02
1.858599385029226312e+02,1.730780033074793209e+02
1.789706647118390777e+02,1.723588752035612401e+02
1.764894760848011117e+02,1.730780033074793209e+02
1.755749678322408442e+02,1.723588752035612401e+02
1.749831426528232612e+02,1.723588752035612401e+02
1.721625669546912150e+02,1.723539464507057062e+02
1.740071404667698687e+02,1.723588752035612401e+02
1.733204434433811230e+02,1.767722459488066136e+02
1.744597656709593139e+02,1.754108296648525993e+02
1.827017932296606375e+02,1.723539464507057062e+02
1.750946053004725513e+02,1.719857353846940100e+02
1.634965128233135943e+02,1.726075048463550274e+02
1.357927730649624323e+02,1.726075048463550274e+02
1.627864671379238359e+02,1.726075048463550274e+02
1.692205630961088048e+02,1.719857353846940100e+02
1.688264288407170284e+02,1.723539464507057062e+02
1.693096630467925650e+02,1.718204757648118175e+02
1.778763684370665885e+02,1.723892873165660831e+02
1.838290842082325014e+02,1.726075048463550274e+02
1.746209121504898576e+02,1.718204757648118175e+02
1.797905178304409617e+02,1.726075048463550274e+02
1.332819301270349115e+02,1.723588752035612401e+02
1.695384262574694958e+02,1.719857353846940100e+02
1.643350171122654046e+02,1.730780033074793209e+02
1.723834474525856990e+02,1.723539464507057062e+02
1.722358419296009231e+02,1.723892873165660831e+02
1.743790343689290978e+02,1.726075048463550274e+02
1.742611357932924534e+02,1.723539464507057062e+02
1.556188461194122397e+02,1.723539464507057062e+02
1.636194532028181357e+02,1.730780033074793209e+02
1.696063573651301510e+02,1.723539464507057062e+02
1.707750202994165534e+02,1.723892873165660831e+02
1.674453314044107515e+02,1.726075048463550274e+02
1.792107008041414815e+02,1.726075048463550274e+02
1.766096999523749957e+02,1.718204757648118175e+02
1.673728757581703519e+02,1.723588752035612401e+02
1.775874507531285076e+02,1.723892873165660831e+02
1.736193583557538886e+02,1.723539464507057062e+02
1.685383919722490020e+02,1.723539464507057062e+02
1.597870538624238179e+02,1.726075048463550274e+02
1.534667555331061237e+02,1.723892873165660831e+02
1.470152861403285840e+02,1.723539464507057062e+02
1.652710881342033247e+02,1.723539464507057062e+02
1.653262630959556816e+02,1.735925438708025013e+02
1.735379983164307589e+02,1.723588752035612401e+02
1.768238474739016226e+02,1.730780033074793209e+02
1.748728208127567427e+02,1.723892873165660831e+02
1.707061030108145872e+02,1.723892873165660831e+02
1.740389567978002390e+02,1.723892873165660831e+02
1.728322785780580659e+02,1.735925438708025013e+02
1.720982670273260169e+02,1.719857353846940100e+02
1.767479648585116081e+02,1.719857353846940100e+02
1.651689161134837320e+02,1.719857353846940100e+02
1.639910816113932128e+02,1.730780033074793209e+02
1.471825143543398440e+02,1.723892873165660831e+02
1.661593157407349679e+02,1.754108296648525993e+02
1.638083421343437465e+02,1.723539464507057062e+02
1.708767408828753673e+02,1.723892873165660831e+02
1.683460030062334170e+02,1.719857353846940100e+02
1.730527204149599072e+02,1.723539464507057062e+02
1.685223859053015474e+02,1.723588752035612401e+02
1.683426842115843556e+02,1.726075048463550274e+02
1.626721238351991019e+02,1.719857353846940100e+02
1.711593185675230586e+02,1.735925438708025013e+02
1.724444130171784764e+02,1.730780033074793209e+02
1.677006664221054564e+02,1.723588752035612401e+02
1.776508164728095664e+02,1.723588752035612401e+02
1.365546921281651578e+02,1.726075048463550274e+02
1.789972654155201610e+02,1.726075048463550274e+02
1.636710276931941053e+02,1.719857353846940100e+02
1.694429204177289421e+02,1.719857353846940100e+02
1.704100875353332754e+02,1.719857353846940100e+02
1.694516562969153597e+02,1.723539464507057062e+02
1.553612925645493874e+02,1.723892873165660831e+02
1.627171983701314559e+02,1.726075048463550274e+02
1.711372408255058701e+02,1.730780033074793209e+02
1.778465054783989672e+02,1.723892873165660831e+02
1.702611140495616269e+02,1.730780033074793209e+02
1.791651855191448135e+02,1.723588752035612401e+02
1.690375935317570111e+02,1.723892873165660831e+02
1.765048606372743620e+02,1.730780033074793209e+02
1.642512362742839969e+02,1.723539464507057062e+02
1.700047963792638654e+02,1.735925438708025013e+02
1.830761208784541054e+02,1.723539464507057062e+02
1.612941003593334131e+02,1.723892873165660831e+02
1.805145847469605940e+02,1.718204757648118175e+02
1.530554264134859181e+02,1.730780033074793209e+02
1.678546963482156968e+02,1.723588752035612401e+02
1.604754946664070872e+02,1.730780033074793209e+02
1.569812835386154291e+02,1.614989465076664885e+02
1.690065103533638364e+02,1.723588752035612401e+02
1.769248232664354248e+02,1.719857353846940100e+02
1.746212586471437191e+02,1.726075048463550274e+02
1.705108159014575904e+02,1.726075048463550274e+02
1.685296827445449708e+02,1.735925438708025013e+02
1.715627166369453960e+02,1.718204757648118175e+02
1.736009587991130161e+02,1.723539464507057062e+02
1.740958594197337845e+02,1.723588752035612401e+02
1.891352253388614599e+02,1.815448535404055406e+02
1.703972963152485818e+02,1.719857353846940100e+02
1.742132362564779271e+02,1.723539464507057062e+02
1.213575684908044536e+02,1.730780033074793209e+02
1.565879110748330731e+02,1.723892873165660831e+02
1.782423305282273986e+02,1.723892873165660831e+02
1.800258159394627171e+02,1.718204757648118175e+02
1.577444369500888968e+02,1.719857353846940100e+02
1.713027519004777730e+02,1.681491236691791471e+02
1.555540790427066611e+02,1.723588752035612401e+02
1.751414690313150402e+02,1.723892873165660831e+02
1.698335592385272435e+02,1.723892873165660831e+02
1.747539521338519251e+02,1.723892873165660831e+02
1.684786883270525379e+02,1.754108296648525993e+02
1.731843459589437373e+02,1.723539464507057062e+02
1.530703973342639586e+02,1.723588752035612401e+02
1.566989522738016944e+02,1.718204757648118175e+02
1.651331862245685613e+02,1.723588752035612401e+02
1.646567539317553610e+02,1.718204757648118175e+02
1.734187723142452455e+02,1.723539464507057062e+02
1.751349314326426168e+02,1.723588752035612401e+02
1.770593916022906171e+02,1.723539464507057062e+02
1.673592603314388327e+02,1.726075048463550274e+02
1.868598721675405727e+02,1.726075048463550274e+02
1.483503970732506616e+02,1.723892873165660831e+02
1.727094900650578211e+02,1.726075048463550274e+02
1.780768616204067598e+02,1.735925438708025013e+02
1.812698315427035425e+02,1.730780033074793209e+02
1.725358262760577759e+02,1.726075048463550274e+02
1.704692593397550695e+02,1.723892873165660831e+02
1.670488537755526579e+02,1.723892873165660831e+02
1.641350838289995124e+02,1.773218253553462489e+02
1.721901236408770330e+02,1.723539464507057062e+02
1.711182401994407201e+02,1.723588752035612401e+02
1.686724039320217798e+02,1.723892873165660831e+02
1.740076135265505286e+02,1.723892873165660831e+02
1.855028380170234641e+02,1.726075048463550274e+02
1.722356597830456053e+02,1.730780033074793209e+02
1.636190566551549068e+02,1.689668630996756633e+02
1.486515242477163667e+02,1.723539464507057062e+02
1.739357414532277915e+02,1.719857353846940100e+02
1.738400820281198662e+02,1.723588752035612401e+02
1.813590400396527400e+02,1.815448535404055406e+02
1.665616495968477295e+02,1.723892873165660831e+02
1.676273023448490278e+02,1.723588752035612401e+02
1.702659061046717852e+02,1.723892873165660831e+02
1.762180890367654342e+02,1.726075048463550274e+02
1.768467583860140451e+02,1.723892873165660831e+02
1.538084718665343189e+02,1.739574739131223282e+02
1.761535113172975002e+02,1.737935755084197638e+02
1.732657500278240832e+02,1.706581059426083584e+02
1.707375675005290532e+02,1.744386050618125239e+02
1.579669081442778804e+02,1.766789369029542627e+02
1.825314200774919584e+02,1.737935755084197638e+02
1.740549072302738978e+02,1.739574739131223282e+02
1.766634407830775331e+02,1.712952809527267561e+02
1.555006698003636245e+02,1.629102012263568326e+02
1.625668680230054974e+02,1.726394855910656929e+02
1.755023227357232543e+02,1.678565183816145066e+02
1.373910922709604279e+02,1.726394855910656929e+02
1.246021058477289785e+02,1.712952809527267561e+02
1.517448533935210548e+02,1.726394855910656929e+02
1.427789584261647917e+02,1.727826557058070023e+02
1.769653665929878912e+02,1.726394855910656929e+02
1.656482656017479940e+02,1.744386050618125239e+02
1.677346250788534974e+02,1.746924116265130351e+02
1.734747816071825071e+02,1.715105474633996039e+02
1.739072384311177473e+02,1.726394855910656929e+02
1.766314021376451819e+02,1.726394855910656929e+02
1.743335020565801869e+02,1.726394855910656929e+02
1.828481524729946841e+02,1.726394855910656929e+02
1.749298364975684876e+02,1.739490953609940505e+02
1.710139313478107113e+02,1.727826557058070023e+02
1.748280463059938370e+02,1.727826557058070023e+02
1.681152535153045449e+02,1.750413086820638284e+02
1.371009566861722533e+02,1.726394855910656929e+02
1.494095566171488656e+02,1.741645613618901507e+02
1.753668546791056713e+02,1.726394855910656929e+02
1.756234276801201588e+02,1.726394855910656929e+02
1.532704408568404517e+02,1.659674267591609294e+02
1.808837251342436900e+02,1.768378182734439577e+02
1.695889752849969341e+02,1.726394855910656929e+02
1.712537030355507000e+02,1.703067953628456053e+02
1.737329454969406299e+02,1.739490953609940505e+02
1.740034661171293067e+02,1.727826557058070023e+02
1.479927793156594191e+02,1.727826557058070023e+02
1.662517767649358973e+02,1.768378182734439577e+02
1.713230177710058229e+02,1.739490953609940505e+02
1.626360194731954039e+02,1.726394855910656929e+02
1.559691296419870241e+02,1.741645613618901507e+02
1.715083291450540059e+02,1.737935755084197638e+02
1.679885996075812784e+02,1.703067953628456053e+02
1.820994918059165855e+02,1.750413086820638284e+02
1.692836287167594094e+02,1.713522571374880386e+02
1.427866753241807487e+02,1.727826557058070023e+02
1.423570111130847238e+02,1.768378182734439577e+02
1.617213982321278820e+02,1.713522571374880386e+02
1.812117053445533656e+02,1.727826557058070023e+02
1.779309659662901311e+02,1.726394855910656929e+02
1.666962681938290416e+02,1.739490953609940505e+02
1.598625533932903977e+02,1.739490953609940505e+02
1.813204361027094649e+02,1.727826557058070023e+02
1.519685393971581675e+02,1.726394855910656929e+02
1.680786395314488857e+02,1.744386050618125239e+02
1.666577471956249212e+02,1.726394855910656929e+02
1.254946353864127389e+02,1.767083306102275913e+02
1.701514557457296064e+02,1.713522571374880386e+02
1.734101184790013122e+02,1.713522571374880386e+02
1.733260344189727675e+02,1.727826557058070023e+02
1.704040352461655630e+02,1.739574739131223282e+02
1.774545279207007979e+02,1.744386050618125239e+02
1.722648857138601386e+02,1.726394855910656929e+02
1.678465283302144826e+02,1.726394855910656929e+02
1.723278643737627078e+02,1.683863916128138953e+02
1.776021394008479888e+02,1.750413086820638284e+02
1.542176796416235049e+02,1.739490953609940505e+02
1.319653492293131762e+02,1.713522571374880386e+02
1.756240404948387948e+02,1.727826557058070023e+02
1.751137950281210465e+02,1.715105474633996039e+02
1.452929424163539522e+02,1.841790009426380266e+02
1.705204827248731476e+02,1.727826557058070023e+02
1.720269939361795366e+02,1.726394855910656929e+02
1.558300031097932674e+02,1.692398116188783206e+02
1.701620854695590026e+02,1.739574739131223282e+02
1.813265198939321010e+02,1.727826557058070023e+02
1.720934863004313229e+02,1.678565183816145066e+02
1.202355395887619807e+02,1.741645613618901507e+02
1.728347803475537035e+02,1.726394855910656929e+02
1.710583064953522410e+02,1.746924116265130351e+02
1.504357739695079488e+02,1.750413086820638284e+02
1.583889434589756036e+02,1.726394855910656929e+02
1.760996102507420744e+02,1.706581059426083584e+02
1.792698648063752103e+02,1.751042594954601554e+02
1.711715011900007823e+02,1.726394855910656929e+02
1.693880907202319293e+02,1.712952809527267561e+02
1.730085020546995338e+02,1.726394855910656929e+02
1.767668357712781244e+02,1.737935755084197638e+02
1.739726185719512728e+02,1.737935755084197638e+02
1.751267320057858115e+02,1.727826557058070023e+02
1.711911545501481839e+02,1.713522571374880386e+02
1.725549360179124108e+02,1.715105474633996039e+02
1.730716037874181836e+02,1.727826557058070023e+02
1.723648450217092147e+02,1.667102495056482780e+02
1.778232245253873316e+02,1.741645613618901507e+02
1.578984833138250679e+02,1.737935755084197638e+02
1.683724493411104390e+02,1.726394855910656929e+02
1.549344148099164613e+02,1.578181417182101995e+02
1.625058803401063869e+02,1.726394855910656929e+02
1.661546660689979262e+02,1.713522571374880386e+02
1.654333208334514893e+02,1.713522571374880386e+02
1.409915043665860139e+02,1.629102012263568326e+02
1.693544465784191857e+02,1.741645613618901507e+02
1.770687617983489872e+02,1.737935755084197638e+02
1.747922405779679593e+02,1.713522571374880386e+02
1.616048597008526713e+02,1.713522571374880386e+02
1.645767784472242568e+02,1.726394855910656929e+02
1.596718766156390927e+02,1.744386050618125239e+02
1.654111789124253562e+02,1.727826557058070023e+02
1.737170923553920829e+02,1.737935755084197638e+02
1.656672994705400015e+02,1.692398116188783206e+02
1.761080055448078383e+02,1.727826557058070023e+02
1.607048857357358997e+02,1.712952809527267561e+02
1.668253368121140170e+02,1.726394855910656929e+02
1.732563635319942534e+02,1.726394855910656929e+02
1.744780226110255512e+02,1.727826557058070023e+02
1.831641028888001586e+02,1.726394855910656929e+02
1.637516054139172752e+02,1.726394855910656929e+02
1.716346030315549740e+02,1.768378182734439577e+02
1.681489639746969544e+02,1.727826557058070023e+02
1.746036737189880057e+02,1.727826557058070023e+02
1.587984348986294947e+02,1.631801497552727369e+02
1.695704549885604138e+02,1.726394855910656929e+02
1.756114756085512454e+02,1.726394855910656929e+02
1.821383154043820412e+02,1.746924116265130351e+02
1.718045272339861356e+02,1.726394855910656929e+02
1.249101737317465677e+02,1.726394855910656929e+02
1.639823357527045289e+02,1.744386050618125239e+02
1.668234044132701399e+02,1.713522571374880386e+02
1.729019318877182343e+02,1.726394855910656929e+02
1.734124583802515360e+02,1.726394855910656929e+02
1.681664941794453796e+02,1.726394855910656929e+02
1.511721673346114017e+02,1.727826557058070023e+02
1.745056115477244134e+02,1.782663094048467087e+02
1.692000123526268567e+02,1.715105474633996039e+02
1.709338456759537053e+02,1.715105474633996039e+02
1.406896786199004055e+02,1.726394855910656929e+02
1.543251655009955243e+02,1.544652263000004382e+02
1.654653051095856426e+02,1.706581059426083584e+02
1.503716978426991204e+02,1.727826557058070023e+02
1.748166694238091736e+02,1.741645613618901507e+02
1.724080517633908585e+02,1.726394855910656929e+02
1.703764258935765952e+02,1.634924489086344579e+02
1.769987284357852388e+02,1.703067953628456053e+02
1.668244112917313373e+02,1.727826557058070023e+02
1.349306406988987703e+02,1.715105474633996039e+02
1.709325817327816424e+02,1.726394855910656929e+02
1.742740272600235016e+02,1.751762211800730995e+02
1.834840062959980855e+02,1.744386050618125239e+02
1.750532426874954979e+02,1.739574739131223282e+02
1.714402707355018833e+02,1.628708257919886364e+02
1.237688420842939365e+02,1.727826557058070023e+02
1.765532403744789747e+02,1.739574739131223282e+02
1.552910138527589652e+02,1.744386050618125239e+02
1.475213015510377943e+02,1.726394855910656929e+02
1.789601502941133333e+02,1.739490953609940505e+02
1.775579964614121309e+02,1.768378182734439577e+02
1.795784538879783554e+02,1.726394855910656929e+02
1.764275506170889685e+02,1.751042594954601554e+02
1.818964408420525274e+02,1.751042594954601554e+02
1.895438713662949226e+02,1.741645613618901507e+02
1.607393363533367676e+02,1.727826557058070023e+02
1.650269124633431659e+02,1.726394855910656929e+02
1.744605555343317462e+02,1.726394855910656929e+02
1.760157802380613248e+02,1.737935755084197638e+02
1.817263750286600441e+02,1.727826557058070023e+02
1.747344119513540477e+02,1.751762211800730995e+02
1.701315310807612207e+02,1.712952809527267561e+02
1.763611301672981142e+02,1.727826557058070023e+02
1.686525111823141287e+02,1.727826557058070023e+02
1.658247097358397752e+02,1.712952809527267561e+02
1.723809230111764634e+02,1.727826557058070023e+02
1.616804067511648952e+02,1.727826557058070023e+02
1.710085557593757244e+02,1.713522571374880386e+02
1.393562820009533141e+02,1.715105474633996039e+02
1.790791495440558947e+02,1.741645613618901507e+02
1.549146242730631116e+02,1.706581059426083584e+02
1.705740089000101136e+02,1.713522571374880386e+02
1.653435119100262796e+02,1.715105474633996039e+02
1.665664519260828342e+02,1.727826557058070023e+02
1.400923655120665785e+02,1.741645613618901507e+02
1.611627351136704078e+02,1.744386050618125239e+02
1.368605514580525835e+02,1.715105474633996039e+02
1.500290135705812702e+02,1.712952809527267561e+02
1.684732204177187498e+02,1.726394855910656929e+02
1.777328132568422063e+02,1.739574739131223282e+02
1.670335150281959216e+02,1.715105474633996039e+02
1.758557649352331680e+02,1.712952809527267561e+02
1.727964254813597904e+02,1.726394855910656929e+02
1.656111090611285022e+02,1.773864863976282038e+02
1.708905751867190190e+02,1.751762211800730995e+02
1.749889757075695798e+02,1.727826557058070023e+02
1.751987279011067358e+02,1.739490953609940505e+02
1.664086358159382257e+02,1.737935755084197638e+02
1.701330090295382718e+02,1.712952809527267561e+02
1.686811222573258817e+02,1.727826557058070023e+02
1.810658997236938603e+02,1.739574739131223282e+02
1.574978873445209899e+02,1.739490953609940505e+02
1.388476207102365549e+02,1.737935755084197638e+02
1.751188886295251450e+02,1.727826557058070023e+02
1.583600673154783465e+02,1.751042594954601554e+02
1.750294360761786834e+02,1.746924116265130351e+02
1.712505949112781707e+02,1.706581059426083584e+02
1.635494171248874693e+02,1.712952809527267561e+02
1.715315781417025391e+02,1.727826557058070023e+02
1.688105068844322432e+02,1.727826557058070023e+02
1.761634731305610728e+02,1.727826557058070023e+02
1.734389914438039000e+02,1.735358382433191196e+02
1.688454783700879034e+02,1.717089141486104040e+02
1.672699750915013226e+02,1.721207666230007476e+02
1.630347173316318958e+02,1.653053975154524267e+02
1.461562006256564246e+02,1.716872893986869997e+02
1.407539873436724065e+02,1.735358382433191196e+02
1.682667600262656435e+02,1.721207666230007476e+02
1.606781174962158332e+02,1.770864036109670110e+02
1.704663110570267008e+02,1.737622425208302843e+02
1.845811773298107710e+02,1.701824383895520043e+02
1.756441296144390094e+02,1.721207666230007476e+02
1.755690825462301063e+02,1.737622425208302843e+02
1.717678565339487307e+02,1.721207666230007476e+02
1.539628225547746752e+02,1.716872893986869997e+02
1.684870861963655102e+02,1.721207666230007476e+02
1.694851975072088237e+02,1.721207666230007476e+02
1.547792620808564834e+02,1.721207666230007476e+02
1.749201847053145116e+02,1.676789486334971855e+02
1.678650326654725973e+02,1.717089141486104040e+02
1.735138655987120444e+02,1.694339123755323158e+02
1.781266590969005392e+02,1.737622425208302843e+02
1.613311211546321147e+02,1.717089141486104040e+02
1.752606192531004865e+02,1.706659476986811796e+02
1.753712658960205886e+02,1.716872893986869997e+02
1.724262959159564730e+02,1.710568869458325594e+02
1.696426432324900873e+02,1.710568869458325594e+02
1.707664569046284555e+02,1.717089141486104040e+02
1.944153277355361809e+02,1.945052735666425292e+02
1.848324267575958970e+02,1.747367970257415379e+02
1.361676513063640073e+02,1.710568869458325594e+02
1.691071891148936572e+02,1.683080449011835356e+02
1.787741833678769012e+02,1.735358382433191196e+02
1.670372974400432895e+02,1.721207666230007476e+02
1.741988601784447042e+02,1.721207666230007476e+02
1.659952770878951185e+02,1.694339123755323158e+02
1.612218938941315969e+02,1.721207666230007476e+02
1.652791022197257860e+02,1.716872893986869997e+02
1.610526731665587477e+02,1.709832017288410952e+02
1.752141236206646511e+02,1.753775896146182163e+02
1.810083541271203273e+02,1.710568869458325594e+02
1.744118075945915223e+02,1.716872893986869997e+02
1.542227029139720855e+02,1.716872893986869997e+02
1.761004419844009021e+02,1.716872893986869997e+02
1.746331640894413511e+02,1.710568869458325594e+02
1.697945835196776443e+02,1.721207666230007476e+02
1.542435674277257931e+02,1.735358382433191196e+02
1.720243556433538288e+02,1.747367970257415379e+02
1.728181115396258178e+02,1.709832017288410952e+02
1.303038329664134096e+02,1.286573757180633208e+02
1.318521337868323542e+02,1.420639554561699640e+02
1.690293660707197034e+02,1.721207666230007476e+02
1.446262532907202001e+02,1.721207666230007476e+02
1.797957007703104182e+02,1.717089141486104040e+02
1.774460809174769622e+02,1.721207666230007476e+02
1.705365151726772410e+02,1.706659476986811796e+02
1.764732380694521510e+02,1.737622425208302843e+02
1.769178740174164091e+02,1.721207666230007476e+02
1.519042784724110788e+02,1.721207666230007476e+02
1.776243040680928971e+02,1.709832017288410952e+02
1.682413461403339454e+02,1.706659476986811796e+02
1.566601423155901500e+02,1.961255473354010519e+02
1.785848964923734741e+02,1.721207666230007476e+02
1.808709676591722655e+02,1.888171186118403853e+02
1.756905560543800675e+02,1.721207666230007476e+02
1.640252444575072559e+02,1.721207666230007476e+02
1.714792429318761435e+02,1.721207666230007476e+02
1.759689142035149985e+02,1.721207666230007476e+02
1.754829028312766184e+02,1.717089141486104040e+02
1.601985177147010972e+02,1.721207666230007476e+02
1.730151697673282456e+02,1.716872893986869997e+02
1.787558219410070421e+02,1.737622425208302843e+02
1.620755489631401929e+02,1.721207666230007476e+02
1.743739840052472800e+02,1.706659476986811796e+02
1.878911071086798188e+02,1.892752681616631207e+02
1.439981477884520018e+02,1.735358382433191196e+02
1.740182297819431483e+02,1.716872893986869997e+02
1.637428456209557908e+02,1.676789486334971855e+02
1.710017445558976874e+02,1.721207666230007476e+02
1.407731237016882915e+02,1.701824383895520043e+02
1.691694163784339366e+02,1.706659476986811796e+02
1.605492665386518354e+02,1.710568869458325594e+02
1.776153851001303394e+02,1.717089141486104040e+02
1.698520866450247127e+02,1.737622425208302843e+02
1.735762330856761935e+02,1.701824383895520043e+02
1.634371248615787238e+02,1.709832017288410952e+02
1.306362964910548214e+02,1.721207666230007476e+02
1.692406009961498796e+02,1.721207666230007476e+02
1.719454482621627847e+02,1.721207666230007476e+02
1.750318717717231038e+02,1.716872893986869997e+02
1.652592534983099597e+02,1.664313648413085218e+02
1.769042187673002502e+02,1.717089141486104040e+02
1.800295009009151670e+02,1.694339123755323158e+02
1.854054773569170038e+02,1.721207666230007476e+02
1.768482242622276317e+02,1.721207666230007476e+02
1.665537509536019627e+02,1.735358382433191196e+02
1.644477936534788967e+02,1.716872893986869997e+02
1.256318721935015787e+02,1.716872893986869997e+02
1.701180018799759921e+02,1.721207666230007476e+02
1.292299828877385153e+02,1.299191348798168235e+02
1.784724639354770375e+02,1.721207666230007476e+02
1.746857213782562610e+02,1.721207666230007476e+02
1.296183323161889120e+02,1.721207666230007476e+02
1.674574834086261319e+02,1.717089141486104040e+02
1.577389265315318312e+02,1.701824383895520043e+02
1.675932671033849033e+02,1.642088985616825312e+02
1.714440707462608486e+02,1.721207666230007476e+02
1.581530440666929849e+02,1.717089141486104040e+02
1.798211645503475609e+02,1.710568869458325594e+02
1.742011285731502142e+02,1.721207666230007476e+02
1.717457400452108516e+02,1.716872893986869997e+02
1.696148585054354498e+02,1.709832017288410952e+02
1.260634899917188108e+02,1.721207666230007476e+02
1.750436481543489151e+02,1.717089141486104040e+02
1.705592321658250512e+02,1.716872893986869997e+02
1.724714212953176684e+02,1.753775896146182163e+02
1.567800352900998178e+02,1.833139598448669858e+02
1.753514256977387049e+02,1.721207666230007476e+02
1.431836784292127334e+02,1.716872893986869997e+02
1.806678173842227011e+02,1.735358382433191196e+02
1.708964956743075163e+02,1.716872893986869997e+02
1.690072787084860977e+02,1.717089141486104040e+02
1.712601858379318003e+02,1.721207666230007476e+02
1.643389760467206884e+02,1.701824383895520043e+02
1.449283134802460040e+02,1.709832017288410952e+02
1.239413648546021420e+02,1.710568869458325594e+02
1.756286496501062402e+02,1.735358382433191196e+02
1.615897312989096406e+02,1.721207666230007476e+02
1.814820822620920922e+02,1.737622425208302843e+02
1.338700057851979466e+02,1.721207666230007476e+02
1.521622500590067091e+02,1.721207666230007476e+02
1.748304805042986345e+02,1.747367970257415379e+02
1.817044410533632686e+02,1.737622425208302843e+02
1.714598222882490575e+02,1.717089141486104040e+02
1.629131036815828111e+02,1.737622425208302843e+02
1.699830348531961590e+02,1.721207666230007476e+02
1.663097095377518997e+02,1.737622425208302843e+02
1.744109226349517883e+02,1.735358382433191196e+02
1.502003786199092872e+02,1.717089141486104040e+02
1.599364282949783558e+02,1.735358382433191196e+02
1.807756664111330451e+02,1.716872893986869997e+02
1.785247094621815336e+02,1.721207666230007476e+02
1.691846844704262196e+02,1.716872893986869997e+02
1.229669705849885588e+02,1.717089141486104040e+02
1.683390895375074763e+02,1.721207666230007476e+02
1.563004660290887102e+02,1.717089141486104040e+02
1.753539328776308253e+02,1.747367970257415379e+02
1.390917365550927798e+02,1.737622425208302843e+02
1.466599028886306826e+02,1.676789486334971855e+02
1.772210409581799979e+02,1.721207666230007476e+02
1.662060889715920098e+02,1.683080449011835356e+02
1.733005565340338592e+02,1.735358382433191196e+02
1.698778761558708084e+02,1.706659476986811796e+02
1.748652292987835892e+02,1.737622425208302843e+02
1.557082989376530975e+02,1.716872893986869997e+02
1.437098101858256030e+02,1.653053975154524267e+02
1.698215580333843491e+02,1.716872893986869997e+02
1.752254481456182020e+02,1.721207666230007476e+02
1.739832339116845787e+02,1.710568869458325594e+02
1.764833034290955709e+02,1.721207666230007476e+02
1.717269252217843416e+02,1.716872893986869997e+02
1.615834730040387512e+02,1.709832017288410952e+02
1.674273247035395968e+02,1.694339123755323158e+02
1.691486403837848229e+02,1.721207666230007476e+02
1.539225069637557510e+02,1.735358382433191196e+02
1.685295696252719040e+02,1.892752681616631207e+02
1.742727701561020694e+02,1.721207666230007476e+02
